0
"과자, 스낵, 밀가루스낵, 밀가루스낵"
"과자, 비스킷, 비스킷, 비스킷"
"과자, 비스킷, 쌀과자, 쌀과자"
"음료, 과채음료, 과일음료, 과일음료"
"과자, 껌, 기능성껌, 기능성껌"
"과자, 껌, 일반껌, 일반껌"
"과자, 껌, 일반껌, 일반껌"
"과자, 껌, 일반껌, 일반껌"
"과자, 껌, 토이껌, 토이껌"
"과자, 껌, 풍선껌, 풍선껌"
"음료, 냉장음료, 냉장곡물견과음료, 냉장곡물견과음료"
"애견, 간식, 반려묘간식, 반려묘간식"
"애견, 간식, 반려견간식, 반려견간식"
"애견, 간식, 반려묘간식, 반려묘간식"
"애견, 사료, 반려묘사료, 반려묘사료"
"애견, 사료, 반려견사료, 습식사료"
"건조식품, 어포/육포, 어포, 어포"
"건조식품, 어포/육포, 기타, 기타"
"과자, 스낵, 스틱과자, 스틱과자"
"과자, 스낵, 스틱과자, 스틱과자"
"과자, 스낵, 스틱과자, 감자스낵"
"과자, 스낵, 스틱과자, 고구마스낵"
"과자, 스낵, 스틱과자, 스틱과자"
"과자, 스낵, 쌀스낵, 쌀스낵"
"과자, 스낵, 쌀스낵, 쌀스낵"
"과자, 스낵, 옥수수스낵, 옥수수스낵"
"과자, 비스킷, 크래커, 크래커"
"과자, 비스킷, 크래커, 크래커"
"과자, 비스킷, 쿠키, 쿠키"
"과자, 스낵, 일반스낵, 일반스낵"
"과자, 스낵, 스틱과자, 고구마스낵"
"과자, 스낵, 과일스낵, 과일스낵"
"과자, 스낵, 과일스낵, 과일스낵"
"과자, 스낵, 치즈스낵, 치즈스낵"
"과자, 스낵, 스틱과자, 스틱과자"
"과자, 비스킷, 크래커, 크래커"
"과자, 비스킷, 샌드, 샌드"
"과자, 비스킷, 샌드, 샌드"
"과자, 스낵, 스틱과자, 감자스낵"
"과자, 스낵, 쌀스낵, 쌀스낵"
"과자, 스낵, 과일스낵, 과일스낵"
"과자, 스낵, 야채스낵, 야채스낵"
"과자, 스낵, 야채스낵, 야채스낵"
"과자, 기타, 전통과자, 전통과자"
"과자, 비스킷, 쿠키, 쿠키"
"과자, 씨리얼, 일반/기능성, 기능성씨리얼"
"과자, 씨리얼, 일반/기능성, 일반씨리얼"
"과자, 씨리얼, 일반/기능성, 일반씨리얼"
"과자, 씨리얼, 일반/기능성, 일빈씨리얼"
"과자, 기타, 전통과자, 전통과자"
"과자, 기타, 안주형과자, 안주형과자"
"과자, 초콜렛, 바초콜릿, 바초콜릿"
"과자, 초콜렛, 쉘초콜릿, 쉘초콜릿"
