0
"과자, 과자, 밀가루스낵, 밀가루스낵"
"과자, 과자, 비스킷, 비스킷"
"과자, 과자, 쌀과자, 쌀과자"
"과자, 과채음료, 과일음료, 과일음료"
"과자, 껌류, 기능성껌, 기능성껌"
"과자, 껌류, 기능성껌, 일반껌"
"과자, 껌류, 일반꺼, 일반꺼"
"과자, 껌류, 일반껌, 일반껌"
"과자, 껌류, 토이껌류, 토이껌"
"과자, 껌류, 풍선껌, 풍선껌"
"과자, 냉장음료, 냉장곡물견과음료, 냉장곡물견과음료"
"과자, 레저취미, 반려묘간식, 반려묘간식"
"상온HMR, 레저취미, 반려견간식, 반려견간식"
"상온HMR, 레저취미, 반려묘간식, 반려묘간식"
"상온HMR, 레저취미, 반려묘사료, 반려묘사료"
"통조림/안주, 통조림, 애견식품, 애견습식사료"
"과자, 마른안주, 어포류, 어포류"
"통조림/안주, 안주, 수산물/건해산, 쥐포/어포/육포"
"과자, 비스, 스틱과자, 스틱과자"
"과자, 비스킷, 스탁과자, 스탁과자"
"과자, 비스킷, 스틱과자, 스낵/감자스낵"
"과자, 비스킷, 스틱과자, 스낵/고구마스낵"
"과자, 비스킷, 스틱과자, 스틱과자"
"과자, 비스킷, 쌀과자, 쌀과자"
"과자, 비스킷, 쌀스낵, 쌀스낵"
"과자, 비스킷, 옥수수스낵, 옥수수스낵"
"과자, 비스킷, 쿠키, 크래커"
"과자, 비스킷, 크레커, 크레커"
"과자, 비스킷, 크래커, 쿠키"
"과자, 비스킷, 크래커, 스낵/밀가루스낵"
"과자, 스낵, 고구마스낵, 비스킷/스틱과자"
"과자, 스낵, 과일스낙, 과일스낙"
"과자, 스낵, 과일스낵, 쌀스낵"
"과자, 스낵, 과일스낵, 치즈스낵"
"과자, 스낵, 비스킷/스틱과자, 비스킷/스틱과자"
"과자, 스낵, 샌드, 크래커"
"과자, 비스킷, 크래커, 샌드"
"과자, 스낵, 샌드, 샌드"
"과자, 스낵, 스틱과자, 스낵/감자스낵"
"과자, 스낵, 쌀과자, 쌀과자"
"과자, 스낵, 쌀스낵, 과일스낵"
"과자, 스낵, 쌀스낵, 야채스낵"
"과자, 스낵, 밀가루스낵, 야채스낵"
"과자, 스낵, 쌀스낵, 전통과자"
"과자, 스낵, 쿠키, 쿠키"
"과자, 씨리얼, 기능성시리얼, 기능성시리얼"
"과자, 씨리얼, 일반시리얼, 일반시리얼"
"과자, 씨리얼, 일반씨리얼, 일반씨리얼"
"과자, 씨리얼, 일빈시리얼, 일빈시리얼"
"과자, 전통과자, 기타전통과자, 기타전통과자"
"과자, 유아식품, 기타간식/안주형과자, 기타간식/안주형과자"
"과자, 초콜렛, 바초콜릿, 스낵/밀가루스낵"
"과자, 초콜렛, 쉘초콜렛, 쉘초콜렛"
"과자, 사탕, 하드캔디, 하드캔디"
"과자, 캔디, 사탕/캔디세트, 하드캔디"
"과자, 캔디, 소프르캔디, 소프르캔디"
"과자, 캔디, 젤리, 토이캔디"
"과자, 캔디, 젤리, 토이캔디?"
"과자, 캔디, 캐러멜, 소프트캔디"
"과자, 캔디, 케러멜, 케러멜"
"과자, 캔디, 토이캔디, 하드캔디"
"과자, 캔디, 하드켄디, 하드켄디"
"과자, 토이, 토이캔디, 토이캔디"
"디저트, 건과일, 건포도, 건포도"
"디저트, 건과일, 대추, 대추"
