product_id,category_id,item_no,barcode,name,comp_nm,cat_1,cat_2,cat_3,cat_4
614,49,15049,8801037089059,동서 오레오 초콜릿 샌드위치 쿠키 100G,동서식품,과자,비스킷,샌드,샌드
704,50,25029,8801019314759,해태 사브레 252G,해태,과자,비스킷,쿠키,쿠키
707,50,25043,8801117277611,오리온 다이제 초코 312G,오리온,과자,비스킷,쿠키,쿠키
719,50,25594,8801117127503,오리온 다이제미니320G,오리온,과자,비스킷,쿠키,쿠키
721,50,25597,8801117127008,오리온 촉촉한초코칩 320G,오리온,과자,비스킷,쿠키,쿠키
811,50,65723,8801062517916,롯데칙촉오리지날,롯데제과,과자,비스킷,쿠키,쿠키
836,50,80098,8801019309571,해태버터링86G,해태제과식품,과자,비스킷,쿠키,쿠키
839,50,80103,8801062009572,롯데마가렛트176G,롯데제과,과자,비스킷,쿠키,쿠키
862,52,20085,8801117109400,오리온고소미80G,오리온,과자,비스킷,크래커,크래커
931,52,55029,8801062634453,롯데 빈츠 204G,롯데제과,과자,비스킷,크래커,크래커
933,52,55050,8801062521890,롯데빠다코코낫,롯데제과,과자,비스킷,크래커,크래커
934,52,55053,8801117280314,오리온다이제,오리온,과자,비스킷,크래커,크래커
954,52,A10032,8801062521920,롯데)제크,롯데제과,과자,비스킷,크래커,크래커
981,54,25668,8801117282707,오리온 예감 치즈그라탕맛 204G,오리온,과자,스낵,감자스낵,감자스낵
984,54,30061,8801043036436,농심포스틱84G,농심,과자,스낵,감자스낵,감자스낵
993,54,40092,8801043036139,농심감자깡75G,농심,과자,스낵,감자스낵,감자스낵
995,54,40147,8801117762308,오리온오감자양념바베큐맛50G,오리온,과자,스낵,감자스낵,감자스낵
1005,54,50061,8801117775001,오리온스윙칩볶음고추장60G,오리온,과자,스낵,감자스낵,감자스낵
1006,54,50072,8801117282202,오리온)예감오리지날2P 64G,오리온,과자,스낵,감자스낵,감자스낵
1028,54,90075,8801117752804,오리온)오감자감자그라탕맛50G,오리온,과자,스낵,감자스낵,감자스낵
1036,55,20167,8801019606328,해태)오사쯔60G,해태제과식품,과자,스낵,고구마스낵,고구마스낵
1105,59,10060,8801019311345,해태포키블루베리41G,해태제과식품,과자,스낵,스틱과자,스틱과자
1112,59,25013,8801062637669,롯데 아몬드 빼빼로 132G,롯데제과,과자,스낵,스틱과자,스틱과자
1126,59,40105,8801062012701,롯데)초코빼빼로54G,롯데제과,과자,스낵,스틱과자,스틱과자
1127,59,40106,8801062012725,롯데)아몬드빼빼로37G,롯데제과,과자,스낵,스틱과자,스틱과자
1128,59,40110,8801062012756,롯데)누드초코빼빼로50G,롯데제과,과자,스낵,스틱과자,스틱과자
1129,59,45031,8801062637607,롯데 오리지날 빼빼로 184G,롯데제과,과자,스낵,스틱과자,스틱과자
1159,59,80087,8801019310928,해태포키딸기41G,해태제과식품,과자,스낵,스틱과자,스틱과자
1160,59,80088,8801019309946,해태)포키극세44G,해태,과자,스낵,스틱과자,스틱과자
1163,59,80092,8801019314001,해태)포키46G,해태제과식품,과자,스낵,스틱과자,스틱과자
1353,63,10094,8801111180993,크라운)콘초66G,크라운제과,과자,스낵,옥수수스낵,옥수수스낵
1354,63,10095,8801043036634,농심바나나킥75G,농심,과자,스낵,옥수수스낵,옥수수스낵
